Name,Book On Lcation,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
B13537,HUH,04:33 PM,01:18 AM,HUH,8:15,LMCP2 STOP
B13538,LOW,01:32 PM,09:02 PM,HUH,7:00,LG1N T5a
B13539,SHS,04:55 AM,11:55 AM,HUH,6:30,LG2S T17
B13540,HTD,05:22 AM,01:37 PM,HUH,7:45,T27
B13541,HUH,05:50 PM,01:50 AM,HUH,7:30,FOTP4 STOP
B13542,HUH,03:41 PM,12:11 AM,HUH,8:00,TAPP1 STOP
B13543,HUH,01:00 PM,09:00 PM,HUH,7:30,SB
B13544,SHS,04:55 AM,12:25 PM,HUH,7:00,SHSP2 T14
B13545,SHT,04:05 AM,10:35 AM,HUH,6:00,TAPP1 T13
B13546,HUH,04:52 PM,01:22 AM,HUH,8:00,LG1N STOP
B13547,HUH,04:13 PM,12:58 AM,HTD,8:15,EMU
B13548,HUH,04:02 PM,12:47 AM,HTD,8:15,EMU
B13549,SHS,04:55 AM,12:10 PM,HUH,6:45,LMCP1 T22
B13550,SHS,04:55 AM,11:25 AM,HTD,6:00,LG1S T16
B13551,HUH,05:15 PM,01:45 AM,HUH,8:00,LOWP1 STOP
B13552,HTD,04:30 PM,12:45 AM,HTD,7:45,HB
B13553,HUH,01:57 PM,09:57 PM,HUH,7:30,EMU+PM BY
B13554,HUH,07:09 AM,03:54 PM,HUH,8:15,EMU
B13555,HUH,08:11 AM,04:41 PM,HUH,8:00,EMU
B13556,HUH,04:46 PM,01:31 AM,HTD,8:15,EMU
B13557,HUH,04:40 PM,01:25 AM,HTD,8:15,EMU
